SolicitudID; Nro solicitud;EnsayoID;ensayo solicitado ;Fecha de creación;Forma de pago;ClienteId;RazonSocial;CUIT_CUIL;EspecieNombre;Condicion_semilla;Fecha inicio ensayo;FechaFinalizacion;Variedad;Baja;PG (normales)%;Año;Moneda;precio_lista;Porcentaje de Bonificación
1;367864;1;Poder Germinativo sin curar;2020-06-01 13:16:51.930;Cuenta corriente;4557;Lorena Rivas;23-69295515-7;Trigo;natural;2020-06-01 13:16:51.930;2020-06-18 00:00:00.000;MS INTA 119;;94.0;2020;ARS;4300.0;
2;367886;2;Poder Germinativo curado;2020-06-04 07:42:19.900;Cuenta corriente;25;Cooperativa de Villa María;30-83197857-1;Maní;natural;2020-06-04 07:42:19.900;2020-07-06 00:00:00.000;OLEICO EC 98 38/42;1;;2020;ARS;4300.0;
3;367887;2;Poder Germinativo curado;2020-06-04 07:46:16.053;Cuenta corriente;25;Cooperativa de Villa María;30-83197857-1;Maní;natural;2020-06-04 07:46:16.053;2020-06-17 00:00:00.000;OLEICO EC 98 38/42;;74.0;2020;ARS;4300.0;
4;367888;2;Poder Germinativo curado;2020-06-04 07:48:29.530;Cuenta corriente;25;Cooperativa de Villa María;30-83197857-1;Maní;natural;2020-06-04 07:48:29.530;2020-06-17 00:00:00.000;OLEICO EC 98 34/36;;65.0;2020;ARS;4300.0;
5;367889;2;Poder Germinativo curado;2020-06-04 07:50:19.697;Cuenta corriente;25;Cooperativa de Villa María;30-83197857-1;Maní;natural;2020-06-04 07:50:19.697;2020-06-17 00:00:00.000;OLEICO EC 98 40/50;;62.0;2020;ARS;4300.0;
6;367890;2;Poder Germinativo curado;2020-06-04 07:51:27.997;Cuenta corriente;25;Cooperativa de Villa María;30-83197857-1;Maní;natural;2020-06-04 07:51:27.997;NULL;OLEICO EC 98 40/50;1;52.0;2020;ARS;4300.0;
7;367890;2;Poder Germinativo curado;2020-06-04 07:51:27.997;;25;Cooperativa de Villa María;30-83197857-1;Maní;natural;2020-06-04 07:51:27.997;2020-07-06 00:00:00.000;OLEICO EC 98 40/50;;52.0;2020;ARS;4300.0;
8;367891;2;Poder Germinativo curado;2020-06-04 07:52:53.243;Cuenta corriente;25;Cooperativa de Villa María;30-83197857-1;Maní;natural;2020-06-04 07:52:53.243;2020-06-17 00:00:00.000;OLEICO EC 98 50/60;;75.0;2020;ARS;4300.0;
9;367892;2;Poder Germinativo curado;2020-06-04 07:54:07.700;Cuenta corriente;25;Cooperativa de Villa María;30-83197857-1;Maní;natural;2020-06-04 07:54:07.700;2020-06-23 00:00:00.000;OLEICO EC 98 50/60;;71.0;2020;ARS;4300.0;
10;367893;2;Poder Germinativo curado;2020-06-04 07:57:14.497;Cuenta corriente;25;Cooperativa de Villa María;30-83197857-1;Maní;natural;2020-06-04 07:57:14.497;2020-06-17 00:00:00.000;OLEICO EC 98 60/70;;69.0;2020;ARS;4300.0;
11;367894;2;Poder Germinativo curado;2020-06-04 08:06:30.797;Cuenta corriente;25;Cooperativa de Villa María;30-83197857-1;Maní;natural;2020-06-04 08:06:30.797;2020-06-17 00:00:00.000;OLEICO 1° MULTIP. 34/36;;70.0;2020;ARS;4300.0;
12;367895;2;Poder Germinativo curado;2020-06-04 08:07:43.887;;25;Cooperativa de Villa María;30-83197857-1;Maní;natural;2020-06-04 08:07:43.887;2020-06-23 00:00:00.000;OLEICO 1° MULTIP. 34/36;;62.0;2020;ARS;4300.0;
13;367896;2;Poder Germinativo curado;2020-06-04 08:11:07.810;Cuenta corriente;25;Cooperativa de Villa María;30-83197857-1;Maní;natural;2020-06-04 08:11:07.810;2020-06-17 00:00:00.000;OLEICO 1° MULTIP. 34/36;;53.0;2020;ARS;4300.0;
14;367897;2;Poder Germinativo curado;2020-06-04 08:15:25.557;Cuenta corriente;25;Cooperativa de Villa María;30-83197857-1;Maní;natural;2020-06-04 08:15:25.557;2020-06-17 00:00:00.000;OLEICO 1° MULTIP. 34/36;;59.0;2020;ARS;4300.0;
15;367898;2;Poder Germinativo curado;2020-06-04 08:17:06.450;Cuenta corriente;25;Cooperativa de Villa María;30-83197857-1;Maní;natural;2020-06-04 08:17:06.450;2020-06-23 00:00:00.000;OLEICO 1° MULTIP. 34/36;;59.0;2020;ARS;4300.0;
16;367899;2;Poder Germinativo curado;2020-06-04 08:18:09.687;Cuenta corriente;25;Cooperativa de Villa María;30-83197857-1;Maní;natural;2020-06-04 08:18:09.687;2020-06-17 00:00:00.000;OLEICO 1° MULTIP. 34/36;;70.0;2020;ARS;4300.0;
17;367932;12;Poder Germinativo Nidera Soja;2020-06-22 07:39:49.430;Cuenta corriente;4237;Ignacio Sosa;20-61700055-9;Soja;natural;2020-06-22 07:39:49.430;2020-06-30 00:00:00.000;NIDERA NS 5028 STS;;99.0;2020;ARS;4300.0;
18;367932;13;Pureza Física Nidera Soja;2020-06-22 07:39:49.430;Cuenta corriente;4237;Ignacio Sosa;20-61700055-9;Soja;natural;2020-06-22 07:39:49.430;2020-06-30 00:00:00.000;NIDERA NS 5028 STS;;;2020;ARS;3800.0;
19;367933;12;Poder Germinativo Nidera Soja;2020-06-22 07:41:58.387;Cuenta corriente;4237;Ignacio Sosa;20-61700055-9;Soja;natural;2020-06-22 07:41:58.387;2020-06-30 00:00:00.000;NIDERA NS 5028 STS;;99.0;2020;ARS;4300.0;
20;367933;13;Pureza Física Nidera Soja;2020-06-22 07:41:58.387;;4237;Ignacio Sosa;20-61700055-9;Soja;natural;2020-06-22 07:41:58.387;2020-06-30 00:00:00.000;NIDERA NS 5028 STS;;;2020;ARS;3800.0;
21;367934;12;Poder Germinativo Nidera Soja;2020-06-22 07:44:21.750;Cuenta corriente;4237;Ignacio Sosa;20-61700055-9;Soja;natural;2020-06-22 07:44:21.750;2020-06-30 00:00:00.000;NIDERA NS 5028 STS;;99.0;2020;ARS;4300.0;
22;367934;13;Pureza Física Nidera Soja;2020-06-22 07:44:21.750;Cuenta corriente;4237;Ignacio Sosa;20-61700055-9;Soja;natural;2020-06-22 07:44:21.750;2020-06-30 00:00:00.000;NIDERA NS 5028 STS;;;2020;ARS;3800.0;
